PC1,PC2,image_path,prediction,ground_truth
-20.053154,3.751054,/kaggle/input/oneshot/test_OS/fake/fake_199.jpg,[uncertain],fake
-16.89797,-22.197412,/kaggle/input/oneshot/test_OS/real/real_49.jpg,[uncertain],real
-17.022139,-21.921396,/kaggle/input/oneshot/test_OS/fake/fake_203.jpg,[generated],fake
20.197752,-20.326134,/kaggle/input/oneshot/test_OS/real/real_61.jpg,[generated],real
-25.41778,-14.661878,/kaggle/input/oneshot/test_OS/real/real_2.jpg,[uncertain],real
-10.325069,21.094154,/kaggle/input/oneshot/test_OS/real/real_80.jpg,real face,real
-13.96953,23.578686,/kaggle/input/oneshot/test_OS/fake/fake_217.jpg,uncertain,fake
-21.107851,0.5628043,/kaggle/input/oneshot/test_OS/fake/fake_243.jpg,uncertain,fake
29.852324,21.797712,/kaggle/input/oneshot/test_OS/fake/fake_272.jpg,uncertain,fake
-21.940376,22.096481,/kaggle/input/oneshot/test_OS/real/real_92.jpg,uncertain,real
38.36046,16.926147,/kaggle/input/oneshot/test_OS/fake/fake_264.jpg,uncertain,fake
3.066705,5.5016704,/kaggle/input/oneshot/test_OS/fake/fake_280.jpg,uncertain,fake
-1.9888434,-2.4845982,/kaggle/input/oneshot/test_OS/real/real_124.jpg,[uncertain],real
-9.780002,14.665546,/kaggle/input/oneshot/test_OS/fake/fake_297.jpg,uncertain,fake
20.164549,-7.9600444,/kaggle/input/oneshot/test_OS/fake/fake_293.jpg,uncertain,fake
-23.373816,14.136012,/kaggle/input/oneshot/test_OS/real/real_69.jpg,uncertain,real
23.690245,10.121958,/kaggle/input/oneshot/test_OS/real/real_60.jpg,uncertain,real
33.997173,5.951331,/kaggle/input/oneshot/test_OS/real/real_63.jpg,uncertain,real
33.9118,0.63785326,/kaggle/input/oneshot/test_OS/real/real_20.jpg,uncertain,real
10.912667,-2.0864553,/kaggle/input/oneshot/test_OS/real/real_47.jpg,uncertain,real
38.49005,8.953945,/kaggle/input/oneshot/test_OS/fake/fake_219.jpg,uncertain,fake
-18.431608,7.4256964,/kaggle/input/oneshot/test_OS/real/real_18.jpg,uncertain,real
37.835606,13.138315,/kaggle/input/oneshot/test_OS/fake/fake_164.jpg,uncertain,fake
18.042648,-12.573229,/kaggle/input/oneshot/test_OS/real/real_33.jpg,uncertain,real
5.0417395,-12.137137,/kaggle/input/oneshot/test_OS/fake/fake_289.jpg,[generated],fake
20.071627,-35.249187,/kaggle/input/oneshot/test_OS/real/real_74.jpg,uncertain,real
17.042463,-22.18328,/kaggle/input/oneshot/test_OS/fake/fake_261.jpg,uncertain,fake
-11.592022,26.871048,/kaggle/input/oneshot/test_OS/fake/fake_259.jpg,uncertain,fake
-3.41539,-14.604564,/kaggle/input/oneshot/test_OS/fake/fake_285.jpg,[uncertain],fake
-18.514723,9.659777,/kaggle/input/oneshot/test_OS/real/real_95.jpg,[uncertain],real
-22.209372,17.410727,/kaggle/input/oneshot/test_OS/fake/fake_218.jpg,uncertain,fake
19.324093,4.4873643,/kaggle/input/oneshot/test_OS/fake/fake_241.jpg,uncertain,fake
-6.7649155,19.660254,/kaggle/input/oneshot/test_OS/real/real_65.jpg,[uncertain],real
15.663685,7.370287,/kaggle/input/oneshot/test_OS/fake/fake_282.jpg,[uncertain],fake
-17.437277,7.638003,/kaggle/input/oneshot/test_OS/fake/fake_200.jpg,uncertain,fake
29.471117,4.5516386,/kaggle/input/oneshot/test_OS/real/real_64.jpg,uncertain,real
-28.302216,5.5467916,/kaggle/input/oneshot/test_OS/fake/fake_189.jpg,uncertain,fake
-6.264661,26.102167,/kaggle/input/oneshot/test_OS/fake/fake_296.jpg,uncertain,fake
-7.6168613,19.907848,/kaggle/input/oneshot/test_OS/fake/fake_175.jpg,uncertain,fake
1.5018469,-0.12777296,/kaggle/input/oneshot/test_OS/real/real_128.jpg,[uncertain],real
0.410108,3.7861555,/kaggle/input/oneshot/test_OS/real/real_21.jpg,uncertain,real
-15.607795,9.873763,/kaggle/input/oneshot/test_OS/real/real_28.jpg,real face,real
-23.294806,15.654089,/kaggle/input/oneshot/test_OS/real/real_68.jpg,[uncertain],real
