x,y,image_path,prediction,ground_truth
6.3106213,5.439612,/kaggle/input/oneshot/test_OS/fake/fake_199.jpg,[uncertain],fake
-15.15703,9.459874,/kaggle/input/oneshot/test_OS/real/real_49.jpg,[uncertain],real
-11.721246,5.165625,/kaggle/input/oneshot/test_OS/fake/fake_203.jpg,[generated],fake
10.108594,-14.337596,/kaggle/input/oneshot/test_OS/real/real_61.jpg,[generated],real
3.1756942,2.3381586,/kaggle/input/oneshot/test_OS/real/real_2.jpg,[uncertain],real
-2.9141414,13.565204,/kaggle/input/oneshot/test_OS/real/real_80.jpg,real face,real
-2.568387,16.357384,/kaggle/input/oneshot/test_OS/fake/fake_217.jpg,uncertain,fake
-0.17648466,5.849428,/kaggle/input/oneshot/test_OS/fake/fake_243.jpg,uncertain,fake
0.61330515,-17.343733,/kaggle/input/oneshot/test_OS/fake/fake_272.jpg,uncertain,fake
-6.9653554,19.469828,/kaggle/input/oneshot/test_OS/real/real_92.jpg,uncertain,real
3.8957264,-21.272333,/kaggle/input/oneshot/test_OS/fake/fake_264.jpg,uncertain,fake
-5.437363,1.6240922,/kaggle/input/oneshot/test_OS/fake/fake_280.jpg,uncertain,fake
6.7389,-0.66805977,/kaggle/input/oneshot/test_OS/real/real_124.jpg,[uncertain],real
-6.2695193,16.931114,/kaggle/input/oneshot/test_OS/fake/fake_297.jpg,uncertain,fake
8.543073,-14.936649,/kaggle/input/oneshot/test_OS/fake/fake_293.jpg,uncertain,fake
-7.669094,18.834196,/kaggle/input/oneshot/test_OS/real/real_69.jpg,uncertain,real
1.0502646,-16.903692,/kaggle/input/oneshot/test_OS/real/real_60.jpg,uncertain,real
2.4807582,-21.41834,/kaggle/input/oneshot/test_OS/real/real_63.jpg,uncertain,real
3.763618,-22.646564,/kaggle/input/oneshot/test_OS/real/real_20.jpg,uncertain,real
-3.9099164,0.8842294,/kaggle/input/oneshot/test_OS/real/real_47.jpg,uncertain,real
4.873882,-20.270727,/kaggle/input/oneshot/test_OS/fake/fake_219.jpg,uncertain,fake
-8.917112,17.565004,/kaggle/input/oneshot/test_OS/real/real_18.jpg,uncertain,real
-0.51212823,-18.231281,/kaggle/input/oneshot/test_OS/fake/fake_164.jpg,uncertain,fake
6.106083,-14.300489,/kaggle/input/oneshot/test_OS/real/real_33.jpg,uncertain,real
2.7603605,-8.489954,/kaggle/input/oneshot/test_OS/fake/fake_289.jpg,[generated],fake
11.905654,-15.102185,/kaggle/input/oneshot/test_OS/real/real_74.jpg,uncertain,real
6.3636146,-11.090036,/kaggle/input/oneshot/test_OS/fake/fake_261.jpg,uncertain,fake
-5.3565574,19.797308,/kaggle/input/oneshot/test_OS/fake/fake_259.jpg,uncertain,fake
7.1547894,0.1393093,/kaggle/input/oneshot/test_OS/fake/fake_285.jpg,[uncertain],fake
-6.521311,11.976028,/kaggle/input/oneshot/test_OS/real/real_95.jpg,[uncertain],real
-5.083314,13.079815,/kaggle/input/oneshot/test_OS/fake/fake_218.jpg,uncertain,fake
2.1375666,-9.980279,/kaggle/input/oneshot/test_OS/fake/fake_241.jpg,uncertain,fake
-1.7071339,12.611374,/kaggle/input/oneshot/test_OS/real/real_65.jpg,[uncertain],real
0.28441238,-12.342579,/kaggle/input/oneshot/test_OS/fake/fake_282.jpg,[uncertain],fake
-7.5603757,15.881513,/kaggle/input/oneshot/test_OS/fake/fake_200.jpg,uncertain,fake
5.142566,-16.311872,/kaggle/input/oneshot/test_OS/real/real_64.jpg,uncertain,real
-8.073704,17.958996,/kaggle/input/oneshot/test_OS/fake/fake_189.jpg,uncertain,fake
-2.909588,15.200431,/kaggle/input/oneshot/test_OS/fake/fake_296.jpg,uncertain,fake
-0.16882396,10.102163,/kaggle/input/oneshot/test_OS/fake/fake_175.jpg,uncertain,fake
-5.8671637,0.39596012,/kaggle/input/oneshot/test_OS/real/real_128.jpg,[uncertain],real
-6.270273,2.6807787,/kaggle/input/oneshot/test_OS/real/real_21.jpg,uncertain,real
-2.764785,8.130338,/kaggle/input/oneshot/test_OS/real/real_28.jpg,real face,real
-7.8332834,19.79833,/kaggle/input/oneshot/test_OS/real/real_68.jpg,[uncertain],real
3.5366814,-14.442333,/kaggle/input/oneshot/test_OS/real/real_10.jpg,[generated],real
9.747228,3.52011,/kaggle/input/oneshot/test_OS/real/real_144.jpg,[uncertain],real
-12.208888,9.077934,/kaggle/input/oneshot/test_OS/real/real_42.jpg,[generated],real
11.467695,-13.797064,/kaggle/input/oneshot/test_OS/real/real_94.jpg,real face,real
6.3637133,3.1331878,/kaggle/input/oneshot/test_OS/real/real_37.jpg,[uncertain],real
5.0515203,7.1013536,/kaggle/input/oneshot/test_OS/fake/fake_265.jpg,uncertain,fake
4.458935,5.3149686,/kaggle/input/oneshot/test_OS/real/real_98.jpg,uncertain,real
-2.7389252,9.373182,/kaggle/input/oneshot/test_OS/real/real_36.jpg,[generated],real
-13.76354,8.098044,/kaggle/input/oneshot/test_OS/real/real_29.jpg,uncertain,real
2.6175442,2.4958162,/kaggle/input/oneshot/test_OS/real/real_120.jpg,real face,real
2.3259912,-16.989937,/kaggle/input/oneshot/test_OS/fake/fake_269.jpg,uncertain,fake
-1.5776497,-17.311842,/kaggle/input/oneshot/test_OS/fake/fake_163.jpg,uncertain,fake
8.866941,-11.609056,/kaggle/input/oneshot/test_OS/fake/fake_266.jpg,[generated],fake
3.4615133,5.892832,/kaggle/input/oneshot/test_OS/fake/fake_240.jpg,uncertain,fake
3.911907,-18.417147,/kaggle/input/oneshot/test_OS/fake/fake_202.jpg,uncertain,fake
9.653932,3.7933416,/kaggle/input/oneshot/test_OS/real/real_118.jpg,[uncertain],real
1.7985853,-15.630752,/kaggle/input/oneshot/test_OS/fake/fake_154.jpg,real face,fake
6.255503,6.5090904,/kaggle/input/oneshot/test_OS/real/real_101.jpg,[uncertain],real
-4.155221,10.917216,/kaggle/input/oneshot/test_OS/fake/fake_231.jpg,[uncertain],fake
5.513176,-11.82917,/kaggle/input/oneshot/test_OS/fake/fake_165.jpg,uncertain,fake
8.469342,-22.590748,/kaggle/input/oneshot/test_OS/real/real_89.jpg,real face,real
2.0531087,2.7626457,/kaggle/input/oneshot/test_OS/fake/fake_291.jpg,uncertain,fake
0.35064074,-16.131588,/kaggle/input/oneshot/test_OS/fake/fake_214.jpg,[uncertain],fake
-7.5642424,16.989197,/kaggle/input/oneshot/test_OS/fake/fake_295.jpg,uncertain,fake
-12.9837885,7.689055,/kaggle/input/oneshot/test_OS/real/real_71.jpg,[uncertain],real
-8.551192,5.284371,/kaggle/input/oneshot/test_OS/fake/fake_263.jpg,[uncertain],fake
-1.4873035,17.594202,/kaggle/input/oneshot/test_OS/fake/fake_190.jpg,real face,fake
-7.1441402,2.5855615,/kaggle/input/oneshot/test_OS/fake/fake_158.jpg,real face,fake
-0.4750536,13.007985,/kaggle/input/oneshot/test_OS/fake/fake_229.jpg,real face,fake
-1.9890288,-20.353632,/kaggle/input/oneshot/test_OS/real/real_11.jpg,uncertain,real
-7.077709,18.912643,/kaggle/input/oneshot/test_OS/fake/fake_150.jpg,uncertain,fake
3.0198698,-19.565548,/kaggle/input/oneshot/test_OS/real/real_114.jpg,uncertain,real
-9.889114,17.712996,/kaggle/input/oneshot/test_OS/real/real_14.jpg,[uncertain],real
-2.703293,4.2692676,/kaggle/input/oneshot/test_OS/fake/fake_270.jpg,uncertain,fake
-10.96462,3.26647,/kaggle/input/oneshot/test_OS/fake/fake_210.jpg,uncertain,fake
10.301372,3.3339915,/kaggle/input/oneshot/test_OS/fake/fake_171.jpg,[uncertain],fake
-14.255135,7.7284765,/kaggle/input/oneshot/test_OS/real/real_126.jpg,uncertain,real
8.901245,-19.443565,/kaggle/input/oneshot/test_OS/real/real_133.jpg,uncertain,real
-7.207379,7.3544745,/kaggle/input/oneshot/test_OS/real/real_135.jpg,[uncertain],real
9.22359,4.230686,/kaggle/input/oneshot/test_OS/real/real_66.jpg,[uncertain],real
7.0633025,-24.080362,/kaggle/input/oneshot/test_OS/real/real_24.jpg,[uncertain],real
6.8806467,-17.423435,/kaggle/input/oneshot/test_OS/real/real_4.jpg,[generated],real
3.0323203,-17.008358,/kaggle/input/oneshot/test_OS/real/real_83.jpg,uncertain,real
1.509623,0.6435137,/kaggle/input/oneshot/test_OS/real/real_79.jpg,[uncertain],real
-3.6752098,2.6385367,/kaggle/input/oneshot/test_OS/real/real_148.jpg,uncertain,real
-11.519571,3.052918,/kaggle/input/oneshot/test_OS/fake/fake_281.jpg,uncertain,fake
7.9500537,0.59228486,/kaggle/input/oneshot/test_OS/fake/fake_184.jpg,[uncertain],fake
-2.4667404,7.444981,/kaggle/input/oneshot/test_OS/real/real_130.jpg,real face,real
-2.8921359,14.329359,/kaggle/input/oneshot/test_OS/fake/fake_177.jpg,uncertain,fake
6.6012945,-15.887597,/kaggle/input/oneshot/test_OS/real/real_85.jpg,uncertain,real
-4.049947,-10.531175,/kaggle/input/oneshot/test_OS/real/real_13.jpg,[uncertain],real
3.0442698,12.189515,/kaggle/input/oneshot/test_OS/fake/fake_242.jpg,uncertain,fake
7.1792917,-1.8178883,/kaggle/input/oneshot/test_OS/real/real_51.jpg,[uncertain],real
7.4086757,-22.453495,/kaggle/input/oneshot/test_OS/real/real_100.jpg,uncertain,real
1.6385891,-13.359785,/kaggle/input/oneshot/test_OS/fake/fake_176.jpg,uncertain,fake
0.22082335,-12.394373,/kaggle/input/oneshot/test_OS/fake/fake_161.jpg,real face,fake
5.848466,-22.33895,/kaggle/input/oneshot/test_OS/real/real_108.jpg,real face,real
